dataset,pred_len,full,As_static,A1_realphase,A0_backbone,A2_1band,A4_2band,A4_8band,A3_freecplx,A5_lowrank8
ETTh1,96,0.39334240133378956,0.3924921128549484,0.39420592278774613,0.388450228402561,0.38957890574724396,0.39488514700210675,0.39525144380861504,0.39346786778513526,0.39792527729317173
ETTh1,336,0.48906022118449544,0.476842486614765,0.4842657235528973,0.4780036814616871,0.48450328354343336,0.48228708391125974,0.4927622150514798,0.4753686852012416,0.49115229160871743
ETTm1,96,0.34281235380372466,0.34147666776131824,0.3416602420439208,0.3493611867097165,0.34388252946750886,0.3448104315667621,0.34209194519227404,0.34599306380635714,0.34315937552214093
ETTm1,336,0.4086322283247368,0.4151254369747382,0.41425745709776,0.42044355838095115,0.4109279285655366,0.41168318030144974,0.408983725371924,0.41574753618863447,0.40839852748276895
electricity,96,0.16398485786282369,0.16911616040511573,,0.19807373974815481,,,,,
electricity,336,0.19150458133993473,0.19336910540784027,,0.2128708590032527,,,,,
exchange,96,0.08800676359312853,0.08778865053460344,0.08852772689234523,0.08262237024821421,0.08736487330263677,0.08619561298207615,0.08610477382679585,0.08481653363728155,0.08600753900650461
exchange,336,0.34296144763074743,0.3227958384129573,0.34908900338918963,0.33398078836698153,0.32706415423666113,0.3213531760625399,0.35069302227022414,0.34474930207299603,0.3392354500936315
synthetic,96,0.5460300419329717,0.5042342199703652,0.5047444598619328,0.5839765003749302,0.56407603604981,0.5805916033181902,0.5553021419880002,0.5079845023973704,0.529083371875294
synthetic,336,0.5528471684589,0.5244895356356166,0.5230509399896554,0.5652926944192017,0.5544792532853525,0.555437734996265,0.5430798223816067,0.5251218112605945,0.537424846227708
traffic,96,0.5178651439726716,0.5425663774174548,,0.6514507789108577,,,,,
traffic,336,0.5399730945977704,0.5561799388070325,,0.6098937815975258,,,,,
weather,96,0.1600728260864432,0.1582237778903815,0.15850224578739242,0.19342153856331118,0.1607570210412131,0.16096927030380764,0.1595974074863913,0.15890626498671653,0.16089521691598174
weather,336,0.26754827455503327,0.2687643761078474,0.26888337507958743,0.2883305896579551,0.27072908372003957,0.26862994501937787,0.2651956947263651,0.2684844946912787,0.2682606725882019
