dataset,pred_len,SeasonalNaive,VAR,NLinear,DLinear,LSTM,Transformer,PatchTST,iTransformer,CSLL
ETTh1,96,0.4333027231680019,0.825233519077301,0.4034389190350964,0.4089046376465779,0.441130241808658,0.44621142672505903,0.40166463494005294,0.40834735262027405,0.40144946151404665
ETTh1,192,0.46915981463838463,0.8352968096733093,0.4273129287066076,0.4397750224034804,0.4564890342951138,0.49662462074270647,0.4329920242960699,0.4349720284924274,0.43146290049222774
ETTh1,336,0.5007620963990643,0.8340650796890259,0.44955505735723805,0.46420816821274596,0.47013354022002346,0.5204846385603705,0.4568374018934686,0.45577998342581544,0.4528969476906471
ETTh1,720,0.5141218646392258,0.8219318389892578,0.4648784489814937,0.5111849248125133,0.4911290334188669,0.5756553970317898,0.5206232825771125,0.4783253032790736,0.4760415842959777
ETTh2,96,0.380203132216845,0.7974660992622375,0.3412104040038633,0.3671250645750379,0.37260185847858973,0.388932420856095,0.34807133317921135,0.3543823593941701,0.3661511902348354
ETTh2,192,0.428544303208912,1.0244441032409668,0.39323595228007563,0.4358792712257833,0.42174009584452116,0.42783257532967833,0.39826156249934064,0.40022487119428235,0.408829124180153
ETTh2,336,0.46558441904013265,1.1681807041168213,0.4303900520114623,0.5092245769677898,0.44644039664511026,0.470425401049341,0.42889049069432333,0.4328859293697014,0.4386763245199643
ETTh2,720,0.47391848947143356,1.2584270238876343,0.44749556487040126,0.6027224017209846,0.4591641270910534,0.49985010794122875,0.45658448596826195,0.4490062978213854,0.45577238963963135
ETTm1,96,0.386526825119707,0.7278151512145996,0.3736850955156631,0.37408093429299905,0.39598410056757033,0.39803774122274127,0.3602401512394824,0.3750422796607328,0.3731464600232637
ETTm1,192,0.4056994173193041,0.7902302145957947,0.3907300579549836,0.3917893867052455,0.4179530891315614,0.4296063077594157,0.3800928073321841,0.39611613436336385,0.3893333383251866
ETTm1,336,0.42575122211151867,0.8144471645355225,0.4121546355903364,0.4140093839584825,0.4366772116671741,0.4351130437934911,0.4032056864055482,0.4237367957562439,0.4095287455835388
ETTm1,720,0.4644998933343455,0.8241363763809204,0.4485591167710671,0.45774214327746787,0.48474303166901617,0.4798615241456001,0.4417532583857425,0.461620425044579,0.44135053727319673
ETTm2,96,0.300543163474853,0.6859297752380371,0.263886335253082,0.28754627360941853,0.27107650131983996,0.28609693024199967,0.25978088964009344,0.26708494713669884,0.2597897514716106
ETTm2,192,0.3365590429241292,0.9130123853683472,0.304573615087398,0.3370172546155697,0.30363969353215414,0.34265782165081593,0.30640908605694867,0.31118671982332125,0.3049814171568581
ETTm2,336,0.37001552033489415,1.0734686851501465,0.3426483384358018,0.4069109931521153,0.3469239459489722,0.36876477785083706,0.3469159907520402,0.3513095777769122,0.34239055595530077
ETTm2,720,0.4215476133357453,1.2123019695281982,0.39769446150256793,0.4724128187667579,0.4035500914221273,0.42635166591361784,0.40577117764163884,0.4093671423704568,0.40327447195047483
electricity,96,0.32576863987543025,,0.27507384275961044,0.2799104926626605,,,0.25665818013190617,0.24385332991517464,0.2632500209374394
electricity,336,0.34268679022678855,,0.2938292378298909,0.29542022924013367,,,0.282559618584791,0.27530768175719533,0.28708166555924913
exchange,96,0.1963566166662689,0.2712807059288025,0.20073525401498585,0.20553274008608882,0.24291298638695683,0.23645269701230856,0.20769378181024722,0.21433672336400122,0.20610010074365695
exchange,192,0.2886756721485075,0.4252931475639343,0.2961188479046816,0.2843549048179395,0.3409923263704515,0.3375705951059686,0.3093736517343446,0.3058834886239245,0.3072333522871429
exchange,336,0.39781499833010253,0.5951672792434692,0.41298308257364047,0.3981581971137756,0.44390678738739614,0.4589409393137604,0.42737518323661083,0.4199175483364079,0.4211352655205191
exchange,720,0.6764451598696176,0.7906463742256165,0.7219808531927331,0.6265350763881637,0.7620053330891247,0.8093674874577937,0.7119260123144957,0.700555305477416,0.7658211045463049
ili,24,1.6222311174836146,1.1624665260314941,1.115800511692307,1.2273224817270658,1.1619774057083772,1.0647528241439803,0.932840874793928,0.933541197647679,0.9964024847406411
ili,36,1.905885309729443,1.3153260946273804,1.0817342171449607,1.191290266443086,1.1415449503588906,1.026135208122729,0.9382589477023998,0.929547860261369,0.9779098763164725
ili,48,1.9521489152703033,1.3891743421554565,1.0633439679694294,1.1921450686885058,0.9422790533979448,1.0423980965047173,0.9375417783587464,0.9384887887747762,0.9711867479895426
ili,60,1.788429695134817,1.4274659156799316,1.072750363579239,1.2175288399427713,0.9244103463106713,1.0205905577210672,0.9503505624546538,0.9502196426951922,0.9859561127583807
traffic,96,0.4974509693908326,,0.39162674079910315,0.4011632858482656,,,,0.2993600375981859,0.36540735812752884
traffic,336,0.4751025121442129,,,0.37826788927226407,,,,0.31327210141063233,0.369352775372053
weather,96,0.254220279641355,0.39718374609947205,0.2329031988447266,0.2535877029967079,0.2180775865274423,0.23176384353653928,0.20966388594347407,0.21065319460250997,0.2082052357861669
weather,192,0.2917442145063712,0.45110371708869934,0.2722276157048169,0.29782673931384557,0.26091251175161095,0.27604307260499905,0.2504603884661483,0.2536632713783038,0.2524682895426038
weather,336,0.3377075961920195,0.4879559576511383,0.3078600847339765,0.33572864942511554,0.30113328984431353,0.3143945952348869,0.29205546779139857,0.29682638310173326,0.2937123780193367
weather,720,0.39350386866035736,0.534384548664093,0.3552559397423295,0.3898256860825379,0.3508058945253148,0.3544695252179778,0.34483359006259495,0.34822812653220936,0.34586568310399024
