dataset,pred_len,CSLL,DLinear,LSTM,NLinear,PatchTST,Transformer,iTransformer
ETTh1,96,0.004401125513203588,0.028555304177403536,0.0115062786510439,0.01535247032546176,0.0007662455505874945,0.021154084559907603,0.010477800129287925
ETTh1,192,0.0010319752183150944,0.023446459153061757,0.004468340363907663,0.002244298144196325,0.00647248408840171,0.04379472274144192,0.010700347330307293
ETTh1,336,0.004682025483674955,0.019609107595664803,0.004341559828978527,0.0026411779945367596,0.03156439965792133,0.11061767444999365,0.0076756361828905165
ETTh1,720,0.0021371336230726267,0.008630061016030761,0.03370371599473923,0.0018152290970703591,0.04762926692126565,0.04544280532165143,0.01330902483717285
ETTh2,96,0.007662770196856917,0.03619946448602725,0.02594359562959688,0.003361365198883456,0.016327356944625157,0.026931714668305812,0.0020595682734662795
ETTh2,192,0.01621197199507623,0.049721007701970694,0.021952250764921417,0.003456537090029503,0.011782271474155604,0.014148183848897796,0.0028521040595291675
ETTh2,336,0.028321711394984933,0.027979094763386735,0.009979582301927888,0.004353190044691547,0.00727778242614312,0.04214478236348214,0.005046047637057093
ETTh2,720,0.019369529812030356,0.006439487467853448,0.019452705551512742,0.0018461375883574481,0.023169646509476963,0.07373224397972562,0.0038881550643730706
ETTm1,96,0.0029621410679766956,0.013920275763209313,0.0012553506565243912,0.006131397431781745,0.005269703879183661,0.012496368829445494,0.019203701069645123
ETTm1,192,0.006226463083888613,0.00541458802720056,0.005774646689740163,0.0019200061343877435,0.00047662587528951567,0.03279353020540576,0.0008852319892671094
ETTm1,336,0.004669947611039561,0.00433897667414005,0.004205749984641785,0.000399351911138692,0.005706814271284422,0.0006219474734029128,0.004802080414721622
ETTm1,720,0.000963720066489563,0.0009451895994203272,0.05290919616543061,0.0038817290465070343,0.0058105790229881745,0.0008611810007207639,0.013934253281246459
ETTm2,96,0.0022574227188318623,0.055220452852122286,0.012369102228680885,0.0019321900158174533,0.0038988628079717888,0.001452368433628463,0.0041580653325976906
ETTm2,192,6.48350266937372e-05,0.03366283578440577,0.0010560164428562004,0.0018598908568924107,0.0029233484716254133,0.016898105389925457,0.005017006806032504
ETTm2,336,0.005265328796355483,0.054376765379825324,0.00016303904948751976,0.005233895302959659,0.004015794659707168,0.0017432854904800698,0.004362391227693886
ETTm2,720,0.006433446234154367,0.004243249899151001,0.006572762868172287,0.0011216725112090213,0.01444939847037363,0.01114084628477606,0.016762508398275203
exchange,96,0.09150095617022733,0.4961286156587231,0.301224339294634,0.035755700174859566,0.20562420265301276,0.1313285276886846,0.27878626501437265
exchange,192,0.028094105732023332,0.15914571534935032,0.15052852574848377,0.06122684925250799,0.5712653735428451,0.43941139554394626,0.25749469528438246
exchange,336,0.09882594318659292,0.36663883530135694,0.7931211600218867,0.07709249948524835,0.6328168397201086,0.4617906998767256,0.2523927018634915
exchange,720,0.7780526375566567,0.4943851150548077,2.068502257680066,0.08967165685785096,0.43559723289128627,1.288078005755378,0.5969666893561112
ili,24,0.019031839668118503,0.053540908545150194,0.052815884965550244,0.016267344796284076,0.009559832755888745,0.12156554542937552,0.02864141132109439
ili,36,0.010412171945566727,0.010958398926244941,0.18407214277330797,0.018068234217160372,0.010898841294240525,0.07120501336895387,0.021874667401835877
ili,48,0.007474682431842184,0.010783610852020328,0.01449298539955442,0.013713296614459351,0.05774226678855057,0.15361586271983063,0.020451694115083012
ili,60,0.010494847105252822,0.009106056864809482,0.017603783635501913,0.026440390495937473,0.05255063665800292,0.06310857470128388,0.022144201110570506
weather,96,0.006027624818452539,0.0004936449809930518,0.007152593313965912,0.00020935967047492254,0.0036750517589516046,0.001298590037664282,0.004116650985718338
weather,192,0.003815904991681107,0.007130402254289487,0.0013137021049654377,0.0040626307818912655,0.003937103028221904,0.007602437513451547,0.005969748520441313
weather,336,0.0012711994601351678,0.006466555288347811,0.009799321066840418,0.0009054539393778037,0.0064644278322454046,0.016790253141081776,0.00022563251752377503
weather,720,0.000875894506656662,0.010693126714570811,0.007649568369951799,0.00291409164303493,0.0005518131544164401,0.004796911991152851,0.004755659043988732
