dataset,pred_len,SeasonalNaive,VAR,NLinear,DLinear,LSTM,Transformer,PatchTST,iTransformer,CSLL
ETTh1,96,0.512225147988273,1.140506625175476,0.39728807317694576,0.3927332093915352,0.43476264714236706,0.43223206291058497,0.386019319255627,0.3917564043841499,0.39334240133378956
ETTh1,192,0.5807811854469105,1.1395330429077148,0.44214747093033285,0.443482299609502,0.4614109835552384,0.5233515305165487,0.43745417635639,0.43728909075375916,0.4453238655098033
ETTh1,336,0.6499145378927602,1.1243325471878052,0.4842023726558915,0.48769724240179047,0.4929194525599512,0.5718667263509243,0.48893476299379035,0.4804398533533932,0.48906022118449544
ETTh1,720,0.6554053243303916,1.101325273513794,0.4751580600271483,0.5166949862833794,0.5094599971064815,0.6493106129245766,0.5814521070656559,0.4886603154872466,0.5011238709405429
ETTh2,96,0.3905182193117875,1.189989447593689,0.2931790376123306,0.3112537763358651,0.3355325384670785,0.3622240872100611,0.2956169718638309,0.3059999579026616,0.34145809439349595
ETTh2,192,0.48186138458216826,1.8872381448745728,0.3780256212128854,0.41942047576435026,0.43321506251173164,0.43398155983371695,0.3746817788816157,0.38041673249877545,0.4097390478773519
ETTh2,336,0.5323535203235886,2.3505027294158936,0.42097743197818377,0.5334949428133032,0.45048188363752867,0.4986917640986461,0.4181164724313617,0.4219866474397808,0.4359972661022548
ETTh2,720,0.5254653206296642,2.6632323265075684,0.4285906758756762,0.7063253609313828,0.450760431196904,0.5197346433455329,0.45083356937497093,0.43445238400451985,0.4488951255455546
ETTm1,96,0.4226957408972205,0.9910376667976379,0.3535595901511517,0.3448301858555169,0.3756124921176438,0.3713633132112564,0.32178824540512185,0.34103518497252,0.34281235380372466
ETTm1,192,0.46314409021346953,1.086352825164795,0.39105290939820025,0.38258273091471817,0.41044344848884967,0.4555955625917141,0.3573207684038729,0.3889799186929227,0.38143901371051037
ETTm1,336,0.4961339460156129,1.1152845621109009,0.42313735104080186,0.4146618129337466,0.44151344505457313,0.44806288810934314,0.3850840303270916,0.4392986904766062,0.4086322283247368
ETTm1,720,0.5739340638257288,1.1142069101333618,0.48718324861505147,0.4775303061114271,0.5498016947221276,0.5211038900110568,0.44804877950805644,0.507124696254609,0.4762638487249444
ETTm2,96,0.2631492360035454,1.0228924751281738,0.18188840349552543,0.19319693602434457,0.1924721676714286,0.20276200811527811,0.17615668588272415,0.18576861153471727,0.1767176766776661
ETTm2,192,0.3205624672484151,1.683521032333374,0.24676246687992429,0.26290992101714983,0.24611822729705307,0.29672626251546214,0.24302369849008787,0.25165161767770616,0.24537837596059472
ETTm2,336,0.37637194329721857,2.171009063720703,0.30777609493542646,0.3579319047214571,0.3158164913690963,0.34203259442200795,0.3064168692771256,0.3154446702249714,0.30627928289500383
ETTm2,720,0.47084480759791497,2.6050350666046143,0.4074982119323649,0.4735604998553719,0.41657242313565934,0.4508370793143269,0.4081574680592307,0.42037508543484936,0.4101010627512306
electricity,96,0.32109503461223393,,0.1983505132494017,0.19613483498812143,,,0.16645530317694934,0.14778568206363235,0.16398485786282369
electricity,336,0.3273082792237742,,0.212834982093534,0.20783756152803287,,,0.19428106497349917,0.18198844440641668,0.19150458133993473
exchange,96,0.08112569163787885,0.14720796048641205,0.08448378110904398,0.08186505898626023,0.11537994317923472,0.1084209258229607,0.08799954718361609,0.09199797622783797,0.08800676359312853
exchange,192,0.1671189507867536,0.343476265668869,0.1758342014198949,0.15363306693142134,0.22740163147019965,0.21764203358160025,0.1903871425496327,0.1837390269868754,0.184810420466724
exchange,336,0.30569972596980344,0.6301517486572266,0.32793072532551554,0.2803238282236844,0.37473259743652143,0.3933811256901089,0.34889244177126755,0.33485206448477617,0.34296144763074743
exchange,720,0.8100644253183958,1.002631425857544,0.9119931249247614,0.6767079419106214,1.0219673141866166,1.1405300802189935,0.9014976479510771,0.8563523467731468,1.0567596217422535
ili,24,6.213324188317905,3.254253625869751,2.827380812758046,3.0555693440299296,5.109315571931898,2.600444710354845,2.29848019041601,2.35170948017879,2.4445707775297616
ili,36,7.713821959921891,3.896272897720337,2.6751913497727564,2.9363223906140115,4.448110482209047,2.446244603430991,2.3400913448281364,2.074625123713614,2.2862099454692104
ili,48,7.85127432487871,4.147795677185059,2.5624677305974295,2.9383999467233024,2.3825594575852516,2.5635037821358924,2.252743303996113,2.2793335770492735,2.2974057364500093
ili,60,6.884903884594883,4.266788959503174,2.5839367962086888,3.068328378799825,2.178789402596393,2.4286062190442874,2.1596849215140814,2.1328964772028995,2.3691578149061243
traffic,96,1.2171467219378935,,0.6544123578995806,0.6538106814717258,,,,0.4496808085921275,0.5178651439726716
traffic,336,1.150253775307052,,,0.6099232460220863,,,,0.4890656659875998,0.5399730945977704
weather,96,0.2591330197728942,0.34918200969696045,0.19331494226201926,0.19385272773478812,0.16881509269512873,0.18061820052023198,0.16294489955048103,0.1657333091793399,0.1600728260864432
weather,192,0.3092152860608021,0.4112796187400818,0.24123176345892136,0.2388527038026711,0.2193967014394454,0.23008406731534392,0.20817205017240764,0.21305331130226748,0.210098091280575
weather,336,0.37641216754734036,0.46135634183883667,0.2921594411980556,0.2846956385134588,0.2779879041332678,0.2874233713270748,0.2651951106288104,0.2745399005021467,0.26754827455503327
weather,720,0.4651866168959593,0.531667947769165,0.3662358975173325,0.3504732334751637,0.3570193006082871,0.354462976390842,0.3453940210642592,0.351849429387751,0.34747667703160023
