dataset,pred_len,CSLL,DLinear,LSTM,NLinear,PatchTST,Transformer,iTransformer
ETTh1,96,0.0017189851906271453,0.006883211335674425,0.009596243171298811,0.007336523270488501,0.003219902316273179,0.015379632353927796,0.006323583409054615
ETTh1,192,0.0011435786973704577,0.00435112040028948,0.00556111649374658,0.0017267048198771739,0.006030573650423971,0.028715848010121302,0.005170070166985488
ETTh1,336,0.003078240421060425,0.0051493259154624035,0.0029430501221053293,0.001291933166541678,0.018170940037798414,0.0847501595647676,0.005852149173524525
ETTh1,720,0.003687240198151503,0.003324770120565692,0.02219476013945797,0.0007913980430623886,0.04573660088963718,0.04701810991778587,0.009242397048212529
ETTh2,96,0.0060772973356202405,0.012650507549288832,0.008366069295745846,0.001482520616407063,0.005162612923229531,0.008950641267776208,0.0009066592028450804
ETTh2,192,0.01523552603389048,0.022930252118338275,0.01337707254386271,0.0006052731447748527,0.006072490055503798,0.005116234563579049,0.0012458197237691783
ETTh2,336,0.015239696416270616,0.01749178543193132,0.007735652768687683,0.001746995057776781,0.0051893699029088485,0.031093508855472487,0.0024833786926114817
ETTh2,720,0.008344181440368175,0.019030910970531213,0.011599379103418518,0.0044392176005365715,0.014920823212879327,0.03701061911239119,0.003877157582340561
ETTm1,96,0.002051089798629144,0.0021201459721695887,0.0015367101020699514,0.0033527215513139987,0.00711893827003586,0.0086434110936208,0.008210213895147811
ETTm1,192,0.0030955437691630055,0.0014693648407203678,0.005888643478196123,0.0015957308757822571,0.00022605828671201975,0.008791656781914936,0.0009357985341480023
ETTm1,336,0.0009808262228825318,0.00030918970742624424,0.004454063723376133,0.0018471150991156478,0.0031574868184768403,0.005510492557925169,0.006119607882535578
ETTm1,720,1.3126440159492473e-05,0.0004846437986107239,0.05145783688613331,0.001696767494381974,0.0024120513201761453,0.01054451798904058,0.013555986803749276
ETTm2,96,0.0010759158066451172,0.012240919177314073,0.011011608565953625,0.00042908609025961767,0.0013099474575582982,0.001327276621315731,0.0014228693817125455
ETTm2,192,2.342608217634872e-05,0.010973668082077576,0.0014748794000049856,0.00044578650648398566,0.000900392661895672,0.011343803763182319,0.0013651698191743146
ETTm2,336,0.0008117409578464139,0.02657263759624915,0.0029489237016783088,0.0013684527973218813,0.0018045423400508598,0.008803682790575853,2.6883060006341496e-05
ETTm2,720,0.0008533447500271489,0.0021124886533938785,0.0015990229317315865,0.0007311461164637822,0.003817134269801922,0.023349719121845094,0.00902486090394573
exchange,96,0.0049676098235867435,0.0032531670531160384,0.0023237432765951757,0.000540342623536211,0.001670417230951215,0.002750770439471772,0.007379942567027586
exchange,192,0.0016105643998197347,0.002219396371366182,0.022410982627271845,0.0007492638450860154,0.0013929832203181246,0.013887034465425215,0.005669632604148932
exchange,336,0.004506404021527994,0.006151174093740335,0.01991284383943231,0.0016588234413938776,0.01945020340377894,0.024258732232808333,0.01131178433888934
exchange,720,0.04626799016068471,0.005579762426923353,0.0663683864241565,0.007401554777292876,0.05263071647631916,0.1431643916594138,0.015384075095875877
ili,24,0.07775813762977156,0.045576238746145865,0.3642276210244594,0.034541493703008914,0.14763502353142896,0.37800177176694233,0.08654963918592815
ili,36,0.049279702958195316,0.008604614781594983,0.5959115256364678,0.038337114150346074,0.032797248905838676,0.1914702308828287,0.03770690001943012
ili,48,0.017379455095637583,0.01786571973815154,0.017194552899763575,0.03237964261879013,0.06236669143040874,0.2793171889978283,0.1645167210240107
ili,60,0.05705285834113756,0.008336889642345933,0.04919447503236911,0.04599579119763143,0.0640292093973959,0.08959311047550242,0.02605183581931211
weather,96,0.0012547910123690354,0.0003617124576604289,0.0017476387316821375,0.00035779993014690504,2.911946730326783e-05,0.002034209768884574,0.0014207438400750992
weather,192,0.0026810121822257583,0.0017165651896145489,0.0012114915945287401,0.0019083229323889298,0.00035112432977182765,0.004986382956292313,0.0016298974929494095
weather,336,0.0016661335287870024,0.0023731282682533206,0.0036194784674590174,0.0008300819074465958,0.0002466434424544651,0.008555457890046032,0.0002690906945763306
weather,720,1.419512783086298e-05,0.002612909159006008,0.004088567088348976,0.00014613083970488604,0.00042535855005406813,0.0038120914236251437,0.00016092781008972533
