dataset,H,tau,tau_over_H,delta,mse_full,mse_phaseoff,mse_backbone,phase_gain_pct,branch_gain_pct
metr_la,2,0.0,0.0,,0.1726217771312484,0.17207446557140268,0.17408524742667686,-0.3180666916664704,0.8406630182978914
metr_la,3,0.0,0.0,,0.20342770825227616,0.20159602133557752,0.2073843867096987,-0.9085927909507696,1.9078960186916976
metr_la,6,0.0,0.0,,0.3008643698923073,0.2860220253917713,0.30292651909949003,-5.189231311891485,0.6807423837678133
metr_la,12,0.0,0.0,-0.2025751831874353,0.4444464123486649,0.42775174025520313,0.4531844707322413,-3.9028881760951966,1.9281460305684581
metr_la,24,0.0,0.0,-0.5949016685772551,0.6536735256725614,0.6315110023033704,0.6786871306434817,-3.5094437449791864,3.685587046155455
metr_la,48,0.0,0.0,-0.5949016685772551,0.9263821194085802,0.905557219058755,0.9688420799552734,-2.299678022717417,4.382547107022166
metr_la,96,0.0,0.0,-0.5949016685772551,1.2557678756834323,1.2019406171742177,1.2752734213039902,-4.478362553032222,1.5295187129841674
pems_bay,12,0.0,0.0,-0.16809692485716649,0.3248527089505089,0.33216074597092576,0.393029596631286,2.200150712889041,17.346502213861545
pems_bay,96,0.0,0.0,-0.7294339420982541,1.0241606506627685,0.9658284732018751,1.2445668454645558,-6.039600102853968,17.7094702148776
ili_us_state,2,1.0,0.5,0.009339765049425689,0.2995382840576055,0.35378468670561314,0.35944583121988066,15.333168643657675,16.666641245764907
ili_us_state,4,1.0,0.25,-0.026639300005316353,0.4601583747860008,0.5329191669914293,0.5384473108650606,13.653251133036965,14.539758022615448
ili_us_state,8,1.0,0.125,-0.0964299290870118,0.7827957551058895,0.8694714345587666,0.8773282192565582,9.968778272383693,10.775039725813775
ili_japan,2,0.0,0.0,-0.03743379816807535,0.7028826055896745,0.8524186460982772,0.9248042271740994,17.542558599939678,23.996605450490325
ili_japan,4,0.0,0.0,-0.16178749124124794,1.2865031902543607,1.452623609981049,1.4850032851692427,11.435888731620956,13.366980187674093
ili_japan,8,0.0,0.0,-0.28950199491824363,2.1364465703464597,2.2180868378767733,2.24285510256699,3.680661466277957,4.744333777904056
ili_us_hhs,2,0.0,0.0,-0.020892873261920453,0.12671182522406946,0.14575295753968068,0.15748027104597825,13.06397663349462,19.537968545231664
ili_us_hhs,4,0.0,0.0,-0.054959646843854314,0.22262741270519437,0.2624901408240909,0.2890596441376261,15.186371569517627,22.98218820223906
ili_us_hhs,8,0.0,0.0,-0.13861202551232205,0.4084461415608724,0.45947206581963435,0.5147944361368815,11.105337637390164,20.658400151731936
