dataset,pred_len,NLinear,DLinear,PatchTST,iTransformer,CSLL2-phaseoff,CSLL2,CSLL2H
ETTh1,96,0.39728807317694576,0.3927332093915352,0.386019319255627,0.3917564043841499,0.39451674576351375,0.3876022854445411,0.3927515888923436
ETTh1,192,0.44214747093033285,0.443482299609502,0.43745417635639,0.43728909075375916,0.4415263423081897,0.43787039993365307,
ETTh1,336,0.4842023726558915,0.48769724240179047,0.48893476299379035,0.4804398533533932,0.48285204928248726,0.4815294297449968,0.47772071983544356
ETTh1,720,0.4751580600271483,0.5166949862833794,0.5814521070656559,0.4886603154872466,0.48709235547021335,0.48299535001799576,
ETTh2,96,0.2931790376123306,0.3112537763358651,0.2956169718638309,0.3059999579026616,0.3428197452788348,0.29577007050805154,
ETTh2,192,0.3780256212128854,0.41942047576435026,0.3746817788816157,0.38041673249877545,0.41908581446988263,0.38095871540753157,
ETTh2,336,0.42097743197818377,0.5334949428133032,0.4181164724313617,0.4219866474397808,0.4525717813451638,0.42931709728513984,
ETTh2,720,0.4285906758756762,0.7063253609313828,0.45083356937497093,0.43445238400451985,0.4497698352540313,0.446108265233695,
ETTm1,96,0.3535595901511517,0.3448301858555169,0.32178824540512185,0.34103518497252,0.34373536906789415,0.3439749384159916,
ETTm1,192,0.39105290939820025,0.38258273091471817,0.3573207684038729,0.3889799186929227,0.38378688505408026,0.384784724791551,
ETTm1,336,0.42313735104080186,0.4146618129337466,0.3850840303270916,0.4392986904766062,0.4142002508122682,0.4164434395368773,
ETTm1,720,0.48718324861505147,0.4775303061114271,0.44804877950805644,0.507124696254609,0.47965968098622513,0.47939487783731444,
ETTm2,96,0.18188840349552543,0.19319693602434457,0.17615668588272415,0.18576861153471727,0.1778027024487226,0.18053134739740548,
ETTm2,192,0.24676246687992429,0.26290992101714983,0.24302369849008787,0.25165161767770616,0.24265380557373523,0.24665442107291588,
ETTm2,336,0.30777609493542646,0.3579319047214571,0.3064168692771256,0.3154446702249714,0.30549528688000505,0.30826590407353954,
ETTm2,720,0.4074982119323649,0.4735604998553719,0.4081574680592307,0.42037508543484936,0.4080896214397116,0.40797426388844116,
exchange,96,0.08448378110904398,0.08186505898626023,0.08799954718361609,0.09199797622783797,0.08712126635297945,0.08305749819229907,0.08337194712055085
exchange,192,0.1758342014198949,0.15363306693142134,0.1903871425496327,0.1837390269868754,0.17966749081964048,0.17674368926582573,
exchange,336,0.32793072532551554,0.2803238282236844,0.34889244177126755,0.33485206448477617,0.34885535182414484,0.34287770005200696,0.3392041391572416
exchange,720,0.9119931249247614,0.6767079419106214,0.9014976479510771,0.8563523467731468,0.9900806018727012,0.9030227824017872,
ili,24,2.827380812758046,3.0555693440299296,2.29848019041601,2.35170948017879,2.5979494922969186,2.520301350113613,
ili,36,2.6751913497727564,2.9363223906140115,2.3400913448281364,2.074625123713614,2.465397640670522,2.429217213308825,
ili,48,2.5624677305974295,2.9383999467233024,2.252743303996113,2.2793335770492735,2.4430733266201297,2.4154918858942245,
ili,60,2.5839367962086888,3.068328378799825,2.1596849215140814,2.1328964772028995,2.490692689593328,2.467922628764659,
weather,96,0.19331494226201926,0.19385272773478812,0.16294489955048103,0.1657333091793399,0.1562417167585352,0.1835438873558079,0.16151687274233967
weather,192,0.24123176345892136,0.2388527038026711,0.20817205017240764,0.21305331130226748,0.20623152135516087,0.2316521227214583,0.21616789642810902
weather,336,0.2921594411980556,0.2846956385134588,0.2651951106288104,0.2745399005021467,0.26258419934709737,0.2854809763798206,0.2706836112967984
weather,720,0.3662358975173325,0.3504732334751637,0.3453940210642592,0.351849429387751,0.3423618300709059,0.3582585106602627,0.3489720486595188
